x,y,z
0.894737,0.578947,0.791624
0.894737,0.631579,0.713073
0.894737,0.684211,0.626251
0.894737,0.736842,0.537865
0.894737,0.789474,0.453841
0.894737,0.842105,0.378067
0.894737,0.894737,0.312262
0.894737,0.947368,0.256505
0.894737,1,0.209917
0.947368,0,0.993413
0.947368,0.0526316,0.99289
0.947368,0.105263,0.991725
0.947368,0.157895,0.989643
0.947368,0.210526,0.986114
0.947368,0.263158,0.980194
0.947368,0.315789,0.970288
0.947368,0.368421,0.953871
0.947368,0.421053,0.927371
0.947368,0.473684,0.886579
0.947368,0.526316,0.827973
0.947368,0.578947,0.75073
0.947368,0.631579,0.658186
0.947368,0.684211,0.557322
0.947368,0.736842,0.456359
0.947368,0.789474,0.362121
0.947368,0.842105,0.278699
0.947368,0.894737,0.207543
0.947368,0.947368,0.148273
0.947368,1,0.0995458
1,0,0.992762
1,0.0526316,0.991998
1,0.105263,0.99053
1,0.157895,0.988017
1,0.210526,0.983826
1,0.263158,0.976847
1,0.315789,0.965208
1,0.368421,0.94595
1,0.421053,0.914899
1,0.473684,0.867188
1,0.526316,0.798902
1,0.578947,0.709529
1,0.631579,0.603609
1,0.684211,0.48982
1,0.736842,0.377828
1,0.789474,0.275159
1,0.842105,0.185882
1,0.894737,0.111018
1,0.947368,0.0496449
1,1,-6.21721e-005
